Address,Property URL,City,Lot Size (AC),Price,Property Type,
15255 E 38th Ave,https://www.loopnet.com/Listing/15255-E-38th-Ave-Aurora-CO/3841714/,"Aurora, CO 80011",1.11," $957,996.41 ",Commercial Lot,
5107 Emerson St,https://www.loopnet.com/Listing/5107-5135-Emerson-Denver-CO/33287990/,"Denver, CO 80216",1.11," $4,599,000.00 ",Commercial Lot,
2980 W 60th Ave,https://www.loopnet.com/Listing/2980-W-60th-Ave-Denver-CO/12107088/,"Denver, CO 80221",1.14," $900,000.00 ",Commercial Lot,
13800 Ash Cir,https://www.loopnet.com/Listing/13800-Ash-Cir-Thornton-CO/25414845/,"Thornton, CO 80602",1.15," $500,000.00 ",Commercial Lot,
4858 College Ave,https://www.loopnet.com/Listing/4858-College-Ave-Fort-Collins-CO/30707303/,"Fort Collins, CO 80525",1.15," $925,000.00 ",Commercial Lot,
2431 S Ash St,https://www.loopnet.com/Listing/2431-2459-S-Ash-St-Denver-CO/37865876/,"Denver, CO 80222",1.16," $2,160,000.00 ",Commercial Lot,
523 Crossing Dr,https://www.loopnet.com/Listing/523-Crossing-Dr-Lafayette-CO/39871733/,"Lafayette, CO 80026",1.17," $609,000.00 ",Commercial Lot,
4265 Santa Fe Dr,https://www.loopnet.com/Listing/4265-Santa-Fe-Dr-Sheridan-CO/30482164/,"Sheridan, CO 80110",1.17," $1,799,000.00 ",Commercial Lot,
7099 S Kenton St,https://www.loopnet.com/Listing/7099-S-Kenton-St-Centennial-CO/6542016/,"Centennial, CO 80112",1.18," $976,600.00 ",Commercial Lot,
2508 Airport Rd,https://www.loopnet.com/Listing/2508-Airport-Rd-Colorado-Springs-CO/7450308/,"Colorado Springs, CO 80910",1.24," $675,000.00 ",Commercial Lot,
6322 Ivanhoe St,https://www.loopnet.com/Listing/6322-Ivanhoe-St-Commerce-City-CO/30497175/,"Commerce City, CO 80022",1.24," $1,500,000.00 ",Commercial Lot,
1181 Space Center dr,https://www.loopnet.com/Listing/1181-Space-Center-dr-Colorado-Springs-CO/35000299/,"Colorado Springs, CO 80915",1.25," $872,336.00 ",Commercial Lot,
8850 Huron St,https://www.loopnet.com/Listing/8850-Huron-St-Thornton-CO/33061072/,"Thornton, CO 80260",1.26," $349,000.00 ",Commercial Lot,
890 Stout Rd,https://www.loopnet.com/Listing/Voyager-Pkwy-Colorado-Springs-CO/37916829/,"Colorado Springs, CO 80921",1.27," $1,272,876.02 ",Commercial Lots,
NWQ Highway 119 and I-25,https://www.loopnet.com/Listing/NWQ-Highway-119-and-I-25-Firestone-CO/31431092/,"Firestone, CO 80504",1.28," $949,000.00 ",Commercial Lot,
24092 E Prospect Ave,https://www.loopnet.com/Listing/24092-E-Prospect-Ave-Aurora-CO/19746505/,"Aurora, CO 80016",1.29," $1,011,456.00 ",Commercial Lot,
18901 E 144th Ave,https://www.loopnet.com/Listing/18901-E-144th-Ave-Brighton-CO/26311449/,"Brighton, CO 80603",1.3," $1,292,304.80 ",Commercial Lots,
2225 E 104th Ave,https://www.loopnet.com/Listing/2225-E-104th-Ave-Northglenn-CO/21412620/,"Northglenn, CO 80233",1.31," $3,200,000.00 ",Industrial Lot,
9914 W Quincy Ave,https://www.loopnet.com/Listing/9914-W-Quincy-Ave-Littleton-CO/36111983/,"Littleton, CO 80123",1.32," $1,017,264.92 ",Commercial Lot,
1380 Dry Creek Dr,https://www.loopnet.com/Listing/1380-Dry-Creek-Dr-Longmont-CO/27087953/,"Longmont, CO 80503",1.35," $3,500,000.00 ",Commercial Lot,
7535 Mulberry Wood,https://www.loopnet.com/Listing/7535-Mulberry-Wood-Colorado-Springs-CO/27974930/,"Colorado Springs, CO 80908",1.36," $1,050,000.00 ",Commercial Lot,
3485 W 72nd Ave,https://www.loopnet.com/Listing/3485-W-72nd-Ave-Westminster-CO/35100265/,"Westminster, CO 80030",1.38," $1,250,000.00 ",Commercial Lot,
1377 Sculptor Dr,https://www.loopnet.com/Listing/1377-Sculptor-Dr-Loveland-CO/23977609/,"Loveland, CO 80537",1.38," $1,344,114.88 ",Commercial Lot,
4237 McWhinney Blvd,https://www.loopnet.com/Listing/4237-McWhinney-Blvd-Loveland-CO/23974785/,"Loveland, CO 80538",1.38," $1,344,114.88 ",Commercial Lots,
Mainstreet & Jordan Rd,https://www.loopnet.com/Listing/Mainstreet-Jordan-Rd-Parker-CO/25128526/,"Parker, CO 80134",1.39," $1,350,591.14 ",Commercial Lots,
